FBgn	tin	bin	twi	bap	mef2
FBgn0000014	1.07	0	1.78	0	1.13
FBgn0000015	0	0	1.98	0	0
FBgn0000097	2.41	0	2.93	1.08	1.94
FBgn0000099	2.38	0	2.1	0	1.64
FBgn0000216	3.05	0	3.19	0.94	2.66
FBgn0000250	0	0	1.97	0	0
FBgn0000251	0	0	0	0	1.16
FBgn0000320	3	2.02	2.76	1.98	2.09
FBgn0000368	0	0	1.82	0	0
FBgn0000411	0	0	1.81	0	0
FBgn0000490	2.07	3.48	0	1.75	0
FBgn0000570	1.01	1.68	1.62	0	1.52
FBgn0000577	1.97	0	3.33	1.7	1.4
FBgn0000606	1.69	0	1.99	0	1.48
FBgn0001077	0	0	1.66	0	0
FBgn0001168	0	0	1.72	0	0
FBgn0001180	0	0	1.66	0	1.59
FBgn0001204	0	0	2.64	0	0
FBgn0001325	1.84	0	2.78	0	1.56
FBgn0002629	2.44	0	2.76	0	1.87
FBgn0002732	2.51	2.23	2.32	1.95	2.39
FBgn0002733	2.32	1.11	3.07	0	1.63
FBgn0002735	0	0	1.68	0	1.54
FBgn0002773	0	2.54	0	0	2.18
FBgn0002985	0	0	2.63	0	0
FBgn0003300	1.5	0	2.27	0	1.88
FBgn0003425	1.18	1.66	1.94	0	2.21
FBgn0003430	1.83	1.88	2.53	1.49	1.41
FBgn0003448	2.35	0	2.38	1.47	3.23
FBgn0003460	0.94	2.51	0.89	0	1.48
FBgn0003463	0	0	2.92	0	0
FBgn0003507	1.26	0	0	0	0
FBgn0003525	1.87	0	2.38	0	2.5
FBgn0003651	1.5	0	0	1.45	0
FBgn0003717	0	0	1.93	1.52	1.6
FBgn0003719	0	0	1.6	0	0
FBgn0003866	2.14	0	2.77	0	2.26
FBgn0003870	2.12	2.85	1.51	1.06	2.23
FBgn0003887	1.67	1.7	2.41	0	1.93
FBgn0003888	1.25	2.75	0	1.73	2.26
FBgn0003900	2.63	0	2.65	0	1.88
FBgn0003944	2.74	1.61	2.11	1.58	1.53
FBgn0003984	1.66	0	0.75	0	0
FBgn0004009	1.84	0	1.56	0	1.41
FBgn0004102	0	0	0	0	0.97
FBgn0004133	0	0	1	0	1.69
FBgn0004170	0	0	0	0	1.29
FBgn0004394	0	0	1.84	0	0
FBgn0004396	0	1.67	1.34	0	0
FBgn0004512	0	0	1.24	0	0
FBgn0004569	0	0	0	0	1.96
FBgn0004644	2.71	1.91	2.73	0	0
FBgn0004654	0	0	0	0	1.55
FBgn0004795	2.59	0	3.12	0	1.87
FBgn0004839	1.46	2.91	0	1.4	0
FBgn0004862	2.83	2.88	2.1	2.02	1.33
FBgn0010109	2.76	0	2.89	1.41	2.4
FBgn0010316	0.92	1.45	2.33	0	1.13
FBgn0010433	1.24	0	2	0	1.66
FBgn0011236	0	3.14	0	0	0
FBgn0011656	2.62	2.1	2.14	1.24	1.56
FBgn0013725	0	0	2	0	0
FBgn0015371	2.51	0	3.31	0	2.05
FBgn0015380	0	1.43	0	0	0
FBgn0015907	0	0	0	0	1.58
FBgn0016694	0	0	0	0	2.01
FBgn0016917	2.24	1.94	2.11	0	1.79
FBgn0020278	0	0	0	0	0.8
FBgn0020299	2.94	0	3.63	0	2.26
FBgn0021776	1.66	0	2.28	0	1.29
FBgn0022740	0	3.15	1.44	1.45	1.86
FBgn0023214	0	0	1.45	0	0
FBgn0024189	2.18	1.43	1.73	2.2	2.18
FBgn0024250	1.31	0	3.03	0	1.36
FBgn0026179	2.13	0	3.34	0	1.51
FBgn0026403	2.09	1.64	2.08	1.44	1.14
FBgn0026404	0	1.64	0	0	0
FBgn0028955	1.95	0.93	2.86	1.06	1.2
FBgn0028978	0	0	2.94	0	1.53
FBgn0030510	1.91	0	3.27	0	0
FBgn0030900	3.22	1.53	2.98	1.76	3.22
FBgn0031313	0	2.02	0.99	0	1.72
FBgn0033917	1.99	0	0	1.29	1.49
FBgn0037447	0	2.71	0	0	0
FBgn0038134	0	0	1.96	0	0
FBgn0038385	1.63	0	2.4	0	1.73
FBgn0039039	2.11	2.07	0	1.41	1.6
FBgn0040089	1.7	0	2.505	0.87	2.53
FBgn0043903	0	0	0.8	0	0
FBgn0052306	0	0	1.11	0	0
FBgn0082598	1.62	0	1.67	0	1.29
FBgn0086442	1.2	2.71	1.41	1.29	2.67
